Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
Nintendo,531.71,79.53,7.99,71
Ea Sports,175.38,79.34,6.75,68
Ea Canada,142.32,75.9,7.26,69
Ubisoft,132.25,68.08,7.13,137
Rockstar North,119.47,92.86,8.29,5
Capcom,115.71,74.29,7.75,103
Ubisoft Montreal,108.31,74.35,7.18,48
Treyarch,103.16,75.5,6.94,15
Ea Tiburon,96.12,75.62,6.91,42
Traveller'S Tales,79.22,72.03,7.44,21
Infinity Ward,77.62,82.29,5.64,6
Visual Concepts,72.87,78.69,7.04,33
Konami,72.56,69.93,7.29,104
Electronic Arts,66.26,72.72,7.09,62
Polyphony Digital,65.2,88.29,8.13,7
Namco,63.11,75.94,8.08,54
Neversoft Entertainment,61.27,80.57,7.52,19
Vicarious Visions,56.98,72.96,7.12,54
Squaresoft,54.65,83.8,8.09,15
Square Enix,52.15,74.38,7.53,36
Ea Dice,51.01,81.79,6.92,9
Yuke'S,47.5,72.29,6.99,23
Naughty Dog,45.39,89.2,8.52,10
Harmonix Music Systems,42.55,78.21,7.62,28
Bethesda Game Studios,41.6,90.56,7.27,3
Blizzard Entertainment,40.75,88.33,7.13,16
Maxis,39.97,73.96,7.12,35
Tt Games,39.96,70.88,6.93,12
Sonic Team,36.1,66.28,7.62,27
Level 5,34.6,79.94,8.39,16
Midway,32.24,68.63,7.49,35
Bioware,30.62,84.39,7.24,13
Rockstar San Diego,30.35,79.6,7.75,12
"Infinity Ward, Sledgehammer Games",29.77,84.67,3.03,1
"Bungie Software, Bungie",29.01,81.33,6.02,4
Omega Force,27.38,65.01,7.68,47
Tose,26.98,70.32,7.37,39
Intelligent Systems,25.94,84.21,8.36,19
Rocksteady Studios,24.59,86.09,8.19,5
Thq,23.85,65.55,7.05,44
Hal Labs,23.83,78.77,8.48,13
Kcet,23.74,79.07,8.07,25
Eurocom Entertainment Software,23.68,65.13,7.52,19
Rockstar Leeds,23.6,83.0,7.89,6
Volition Inc.,22.86,78.24,7.46,12
Epic Games,22.74,85.08,7.52,9
Codemasters,22.09,77.66,6.98,24
Good Science Studio,21.81,61.0,6.3,1
Rainbow Studios,21.14,69.92,7.64,16
Gearbox Software,20.91,74.48,7.35,16
Ea La,20.27,73.69,7.43,10
Criterion Games,20.27,84.12,7.68,13
Ea Redwood Shores,20.24,76.64,7.63,12
343 Industries,19.82,84.5,7.17,4
Ea Black Box,19.17,79.91,7.37,7
Valve Software,19.14,91.38,8.73,8
The Sims Studio,18.93,74.62,5.99,10
Kcej,18.93,77.75,8.49,11
Toys For Bob,18.73,73.17,6.6,9
Dimps Corporation,18.63,66.73,7.43,21
Rare Ltd.,18.46,76.62,7.78,16
From Software,18.31,69.91,7.67,34
Turn 10,18.11,87.8,7.66,5
Tt Fusion,18.04,70.5,7.22,9
Artificial Mind And Movement,17.87,58.89,6.87,36
Pandemic Studios,17.61,71.62,7.96,9
