Platform,Global_Sales,Critic_Score
2600,97.08,71.0
3DO,0.1,71.0
3DS,259.09,69.74038461538461
DC,15.97,75.40384615384616
DS,806.8100000000001,68.58716875871687
GB,255.45000000000002,71.0
GBA,318.5,69.0669099756691
GC,199.36,69.78237410071942
GEN,28.36,71.0
GG,0.04,71.0
N64,218.88,71.0
NES,251.07,71.0
NG,1.44,71.0
PC,260.3,74.61806981519507
PCFX,0.03,71.0
PS,730.68,71.0860484544695
PS2,1255.64,69.63489125404905
PS3,939.43,70.6198347107438
PS4,314.19,71.7015306122449
PSP,294.3,69.63358147229116
PSV,54.1,70.94186046511628
SAT,33.59,71.0
SCD,1.87,71.0
SNES,200.05,71.0
TG16,0.16,71.0
WS,1.42,71.0
Wii,908.13,67.37651515151515
WiiU,82.16,70.83673469387755
X360,971.63,69.27020602218701
XB,258.26,69.99635922330097
XOne,159.44,72.5910931174089
