Publisher,Years_Active,First_Year,Last_Year,Total_Sales,Avg_Critic_Score,Title_Count
Nintendo,33,1983,2016,1788.81,72.99,671
Electronic Arts,24,1992,2016,1116.96,73.64,608
Activision,36,1980,2016,731.16,70.23,421
Sony Computer Entertainment,22,1994,2016,606.48,72.53,627
Ubisoft,21,1995,2016,471.32,69.51,575
Take-Two Interactive,19,1997,2016,403.82,73.8,204
Thq,18,1995,2013,338.44,68.59,409
Konami Digital Entertainment,30,1986,2016,282.39,69.96,641
Sega,34,1982,2016,270.3,70.37,479
Namco Bandai Games,32,1984,2016,254.62,69.65,783
Microsoft Game Studios,20,1996,2016,248.32,74.93,180
Capcom,31,1985,2016,200.02,71.37,278
Atari,36,1980,2016,156.83,67.98,282
Warner Bros. Interactive Entertainment,13,2003,2016,151.79,70.14,75
Square Enix,13,2003,2016,145.34,73.01,162
Disney Interactive Studios,16,1999,2015,117.37,67.91,110
Eidos Interactive,13,1996,2009,98.65,69.25,124
Lucasarts,17,1994,2011,85.83,70.3,42
Bethesda Softworks,14,2002,2016,85.05,71.7,30
Midway Games,12,1996,2008,69.67,68.22,108
Acclaim Entertainment,11,1993,2004,64.15,68.71,119
Vivendi Games,14,1995,2009,57.94,67.58,93
Squaresoft,16,1987,2003,57.65,73.58,48
505 Games,14,2002,2016,55.32,66.49,149
Tecmo Koei,25,1991,2016,53.54,68.74,256
Unknown,35,1981,2016,49.21,68.59,239
Codemasters,19,1997,2016,47.27,70.95,75
Virgin Interactive,10,1992,2002,43.87,73.56,56
Enix Corporation,17,1987,2004,33.74,71.33,28
Deep Silver,12,2004,2016,25.37,64.48,72
Gt Interactive,4,1995,1999,25.23,72.04,39
D3Publisher,18,1998,2016,23.74,68.49,132
Sony Computer Entertainment Europe,14,2001,2015,23.37,76.53,12
Hudson Soft,27,1984,2011,22.94,68.49,78
Mtv Games,4,2007,2011,20.72,75.41,14
Universal Interactive,6,2001,2007,17.77,61.74,15
Banpresto,20,1991,2011,17.4,71.01,72
Rising Star Games,11,2005,2016,16.82,67.13,81
Infogrames,13,1994,2007,16.34,68.76,53
Majesco Entertainment,12,2001,2013,15.79,63.64,83
Hasbro Interactive,12,1994,2006,15.22,70.81,14
Nippon Ichi Software,18,1998,2016,13.66,69.31,87
989 Studios,2,1997,1999,13.32,71.0,14
Zoo Digital Publishing,7,2002,2009,12.81,62.21,85
Atlus,22,1994,2016,12.36,74.18,61
Level 5,7,2009,2016,12.24,69.93,24
Empire Interactive,12,1996,2008,11.29,63.91,36
Ascii Entertainment,7,1994,2001,10.89,70.75,19
3Do,5,1998,2003,10.12,64.61,30
Crave Entertainment,13,1998,2011,9.86,67.77,48
Redoctane,2,2005,2007,8.68,81.0,4
Focus Home Interactive,10,2006,2016,8.5,66.16,41
Tdk Mediactive,3,2001,2004,8.31,58.42,28
Global Star,2,2004,2006,7.65,59.54,23
Mindscape,15,1995,2010,7.64,68.35,27
Fox Interactive,4,1996,2000,7.39,69.75,8
Psygnosis,6,1994,2000,7.27,73.34,32
Activision Value,8,2001,2009,6.95,63.38,14
Ignition Entertainment,9,2002,2011,6.73,67.69,48
Interplay,11,1993,2004,6.65,72.13,30
Southpeak Games,11,1999,2010,6.25,63.41,30
Spike,11,2001,2012,6.17,69.59,29
Red Orb,3,1994,1997,5.24,77.0,2
Parker Bros.,2,1981,1983,4.97,71.0,7
Tomy Corporation,15,1995,2010,4.95,70.06,18
Bam! Entertainment,4,2000,2004,4.95,61.4,24
Imagic,0,1981,1981,4.82,71.0,4
Arena Entertainment,0,1992,1992,4.72,71.0,2
Zoo Games,3,2008,2011,4.67,66.64,29
Pqube,9,2007,2016,4.55,74.07,25
Koch Media,8,2008,2016,4.53,66.12,10
Ubisoft Annecy,3,2009,2012,4.46,66.0,11
City Interactive,7,2007,2014,4.45,59.11,15
Play It,3,2002,2005,4.31,61.57,13
Destineer,4,2007,2011,4.29,65.8,38
Nordic Games,8,2008,2016,4.19,68.24,28
Palcom,0,1989,1989,4.17,71.0,1
Marvelous Interactive,14,2002,2016,4.05,69.95,52
Chunsoft,20,1992,2012,4.0,71.0,17
Idea Factory,14,2002,2016,3.96,70.45,130
Kadokawa Shoten,19,1996,2015,3.77,71.44,47
Game Factory,7,2003,2010,3.75,63.41,27
Gotham Games,2,2002,2004,3.72,68.57,5
Natsume,20,1996,2016,3.69,66.56,18
Square,10,1991,2001,3.64,74.0,6
Ocean,6,1992,1998,3.61,71.0,14
