Genre,Game_Count,Avg_Score_Gap,Median_Score_Gap,Std_Score_Gap,Critic_Higher_Pct,User_Higher_Pct
Platform,888,-4.689,-4.0,9.851,16.0,81.5
Puzzle,580,-4.664,-4.0,8.039,11.4,87.1
Adventure,1303,-4.56,-4.0,6.973,6.4,92.6
Action,3369,-4.03,-4.0,10.51,20.4,77.4
Fighting,849,-3.931,-4.0,8.673,17.6,80.6
Role-Playing,1498,-3.78,-4.0,8.188,15.4,82.2
Misc,1750,-3.602,-4.0,8.027,12.6,86.1
Simulation,873,-3.52,-4.0,9.218,15.0,83.7
Racing,1249,-3.424,-4.0,12.04,24.9,73.3
Strategy,683,-2.587,-4.0,10.469,18.9,79.1
Shooter,1323,-1.385,-4.0,12.451,33.3,63.3
Sports,2348,-0.977,-4.0,12.367,28.9,69.3
