Name,Platform,Year_of_Release,Era,Genre,Publisher,Developer,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Global_Sales_Calculated,Sales_Region_Dominant,Critic_Score,Critic_Count,User_Score,User_Count,Score_Gap
Wii Sports,Wii,2006,2000s,Sports,Nintendo,Nintendo,E,41.36,28.96,3.77,8.45,82.53,82.54,NA,76.0,51,8.0,322,-4.0
Super Mario Bros.,NES,1985,1980s,Platform,Nintendo,Unknown,Unknown,29.08,3.58,6.81,0.77,40.24,40.24,NA,71.0,21,7.5,24,-4.0
Mario Kart Wii,Wii,2008,2000s,Racing,Nintendo,Nintendo,E,15.68,12.76,3.79,3.29,35.52,35.52,NA,82.0,73,8.3,709,-1.0
Wii Sports Resort,Wii,2009,2000s,Sports,Nintendo,Nintendo,E,15.61,10.93,3.28,2.95,32.77,32.77,NA,80.0,73,8.0,192,0.0
Pokemon Red/Pokemon Blue,GB,1996,1990s,Role-Playing,Nintendo,Unknown,Unknown,11.27,8.89,10.22,1.0,31.37,31.38,NA,71.0,21,7.5,24,-4.0
Tetris,GB,1989,1980s,Puzzle,Nintendo,Unknown,Unknown,23.2,2.26,4.22,0.58,30.26,30.26,NA,71.0,21,7.5,24,-4.0
New Super Mario Bros.,DS,2006,2000s,Platform,Nintendo,Nintendo,E,11.28,9.14,6.5,2.88,29.8,29.8,NA,89.0,65,8.5,431,4.0
Wii Play,Wii,2006,2000s,Misc,Nintendo,Nintendo,E,13.96,9.18,2.93,2.84,28.92,28.91,NA,58.0,41,6.6,129,-8.0
New Super Mario Bros. Wii,Wii,2009,2000s,Platform,Nintendo,Nintendo,E,14.44,6.94,4.7,2.24,28.32,28.32,NA,87.0,80,8.4,594,3.0
Duck Hunt,NES,1984,1980s,Shooter,Nintendo,Unknown,Unknown,26.93,0.63,0.28,0.47,28.31,28.31,NA,71.0,21,7.5,24,-4.0
Nintendogs,DS,2005,2000s,Simulation,Nintendo,Unknown,Unknown,9.05,10.95,1.93,2.74,24.67,24.67,EU,71.0,21,7.5,24,-4.0
Mario Kart DS,DS,2005,2000s,Racing,Nintendo,Nintendo,E,9.71,7.47,4.13,1.9,23.21,23.21,NA,91.0,64,8.6,464,5.0
Pokemon Gold/Pokemon Silver,GB,1999,1990s,Role-Playing,Nintendo,Unknown,Unknown,9.0,6.18,7.2,0.71,23.1,23.09,NA,71.0,21,7.5,24,-4.0
Wii Fit,Wii,2007,2000s,Sports,Nintendo,Nintendo,E,8.92,8.03,3.6,2.15,22.7,22.7,NA,80.0,63,7.7,146,3.0
Kinect Adventures!,X360,2010,2010s,Misc,Microsoft Game Studios,Good Science Studio,E,15.0,4.89,0.24,1.69,21.81,21.82,NA,61.0,45,6.3,106,-2.0
Wii Fit Plus,Wii,2009,2000s,Sports,Nintendo,Nintendo,E,9.01,8.49,2.53,1.77,21.79,21.8,NA,80.0,33,7.4,52,6.0
Grand Theft Auto V,PS3,2013,2010s,Action,Take-Two Interactive,Rockstar North,M,7.02,9.09,0.98,3.96,21.04,21.05,EU,97.0,50,8.2,3994,15.0
Grand Theft Auto: San Andreas,PS2,2004,2000s,Action,Take-Two Interactive,Rockstar North,M,9.43,0.4,0.41,10.57,20.81,20.81,Other,95.0,80,9.0,1588,5.0
Super Mario World,SNES,1990,1990s,Platform,Nintendo,Unknown,Unknown,12.78,3.75,3.54,0.55,20.61,20.62,NA,71.0,21,7.5,24,-4.0
Brain Age: Train Your Brain in Minutes a Day,DS,2005,2000s,Misc,Nintendo,Nintendo,E,4.74,9.2,4.16,2.04,20.15,20.14,EU,77.0,58,7.9,50,-2.0
Pokemon Diamond/Pokemon Pearl,DS,2006,2000s,Role-Playing,Nintendo,Unknown,Unknown,6.38,4.46,6.04,1.36,18.25,18.24,NA,71.0,21,7.5,24,-4.0
Super Mario Land,GB,1989,1980s,Platform,Nintendo,Unknown,Unknown,10.83,2.71,4.18,0.42,18.14,18.14,NA,71.0,21,7.5,24,-4.0
Super Mario Bros. 3,NES,1988,1980s,Platform,Nintendo,Unknown,Unknown,9.54,3.44,3.84,0.46,17.28,17.28,NA,71.0,21,7.5,24,-4.0
